A Rainha do Nada, Holly Black, 368 páginas, Fantasia 
O Ceifador, Neal Shusterman, 448 páginas, Ficção Científica / Distopia
Battle Royale, Koushun Takami, 664 páginas, Ficção Científica / Thriller
Heartstopper: Volume 1, Alice Oseman, 288 páginas, Romance / Graphic Novel
Heartstopper: Volume 2, Alice Oseman, 320 páginas, Romance / Graphic Novel
A Prisão do Rei, Victoria Aveyard, 544 páginas, Fantasia / Jovem Adulto
The Silent Patient, Alex Michaelides, 336 páginas, Thriller / Mistério
Mentirosos, E. Lockhart, 240 páginas, Suspense / Jovem Adulto
Espada de Vidro, Victoria Aveyard, 496 páginas, Fantasia / Jovem Adulto
A Biblioteca da Meia-Noite, Matt Haig, 304 páginas, Ficção / Fantasia
Quarta Asa, Rebecca Yarros, 544 páginas, Fantasia / Romance
Chama de Ferro, Rebecca Yarros, 816 páginas, Fantasia / Romance
